Author;Komentar;Klasifikasi
Altasya Aizahwa;kota waroeng steak favorite banget;positif
Rifda Farisa;steak favoritt harga ajar;positif
Adhy Musaad;steak favorit zaman sekolah orens floatnya suka liat jd inspirasi makan jugak;positif
Neny Prihatinm;blackpaper sih jd favorit kesini;positif
bangtan wifeu;dijogja nyobain ws sih ws gejayan ws colombo ws jakal ws cendrawasih ws tamsis enak semuaaa jadipengenbalikjogjalagi;positif
septiana putri;waroeng steak is the bagus sih;positif
Putry Arinijuhari;jd tambah mahal worth pay huhu;negatif
garnisyana id;suka banget steak;positif
I'm Zeaxy;menu enak waroeng steak steak waroeng situ udang;positif
apria helida;suka orange floatnya seger manis gitu makan rasa bintaro depok kdg beda cabang tempat makan sk beda rasa;positif
kupu-kupu yang indah;first yeay favorit akuuu;positif
Anjas Yanuar Pratama;jadi ngiler;positif
Miss Wiid;tempat makan favorit banget banget banget direview jd nyeret teman makan besok;positif
Linn Linn;enak pasti warung steak semarangg;positif
Maria Ulfa;ws emang juara jd inget jaman kuliah bandung tahun cm tempatnaik angkot unpad lumayan jauh makan steak enak murah lanjut;positif
aisyah Hardiansyah;manteppp ihhh;positif
Suci Idhani Lestari;steak enak sih banding tempat jual steak dgn hrga murah;positif
Eka dyah;malang ramai antri favorit mahasiswa;positif
Erick Apriana;waahh ws langgan menu favorit steak tuna strawberry jelly milk shake;positif
Siti Irohsyafuroh;ngiler parahhhhhh;positif
Anita Rahayu;fav banget jaman sekolah punya suami chicken doublenya xd brown sous aduk sambel tambah merica dikit banget enak banget;positif
Asti Nufaidah;steak suka pas jogjasolo;positif
Adira aa;hmm parah bikin ngiler;positif
theresia yori;ws emang favorite banget sihhh;positif
Rini Rini;kak ken kak grat tinjau tempat makan fav banget waroeng steak fav sih chicken steaknya;positif
isika agis afriana;banget makan waroeng steak emang murah banget rasa murah;positif
Thessa There;kak cobain moenmoen steak jogja foodcurt galeria steaknya bumbu gurih banget gurih ws hrganya bawah rb gak sesal;positif
Geleraa Kimmm;tempat nongkrong murah jaman sma;positif
Nisrina Salma A;hai coba tinjau makan ayam bulungan enak tuh;positif
Sadam Husein;zaman smp gua kesini sederhana modern steak nya enak banget boss wagyu;positif
citra 99;minum favorit suami warung steak orange float;positif
rika okta;orange float enak bgd fave warung steak;positif
Dewi Puspita Sari;makan steak warung harga ribu jaman mahasiswa jogja dgn uang cekak makan steak mantapp;positif
Veronika Frank;mantap;positif
Rendra Prismawan;harga rb suka makan;positif
Wika Amanda Selvi;tempat makan favorit suami uhuuuyyy;positif
hermin susilowati;ngilerrr bangettttt;positif
Fany Nafira;enak gue beli;positif
R Amilins;recomended banget sih sirloin double lads hitam pas kanyong ajar turut bad tuna steak soal amis banget kayak kurang mateng gitu jadi sesal dateng steak shake cabang jogja tur mmmm;negatif
Mallika Channel;suka;positif
Ferli Ayu Astriani;smp dh makan steak soal pas kantong;positif
Amanah aja;jaman kampung kota tetp jadi steak idola;positif
Nova Sari;ngiler liat;positif
Ika Rosdiana;waroeng steak jkt satu enak fresh;negatif
mickey girl;pertama nyobain ws tahun awal kuliah depok favorit banget makan ws minggu makan ws margonda steak ws jadi favorit ubah tetap worth lahhh;positif
Yani Siwan;tempatt steak favorite abang sayang sd sekarangggg jaman tempat terus kesan sederhanasampe tempat kini banget gapernah bosen makan steak disiniiii steak nya juaramilk shake nya memantulllll sangatttt murah worth it sihhh;positif
Sabina Darsono;senang banget nih ken sma grat tinjau makan murah riah enak makan barang pacar malem minggu pakai mahal haha cocok mantap coba tinjau lg makan murah riah enak cocok kencan budget pas an hahaha;positif
rania oktavia;waroeng steak and shake harga murah tempat cukup mewah;positif
Cindy Wulandari;pertama kali ws daerah tamsis jogja tempat bimbing ajar kayak kedai pertama waktu kelas smp tahun laluharganya lupa daaaan jadi tempat makan favorit rantau kota alhamdulillah ketemu cabang hihihi;positif
Kang Handri;gue nyoba wagyu soal akhir kesana wagyu ttp favorit gue emg steak waroeng maknyuzz saosnya campur gitu dimangkokin;positif
Mila Saputri14;suka rasa makan ws akhir nyobain rasa hambar;negatif
ulien jody;tempat makan steak paporit sih murah murah hehe;positif
Sabina Darsono;enak kak harga mahasiswa bngt klo dijogja daging nya jg lembut;positif
Anita Anita;krng enak ws jd gak suka lg;negatif
panda_94;battt makan disisni harga jangkau minum ter fav orange float;positif
Galis garnia putri;tempat steak favorit pulang sekolahles kesini deket;positif
Gzz dille;makan favorite banget waktu jogja;positif
Rifqi Nadhor;enak steak katak pakai black paper;positif
Syee;bom gua makan situ deket bsd gua ngrasa yaa rasa cenderung kurang dn layan kurang ramah gua moga baik soal layan;negatif
Novira Maharani;murah riah enak beneerr tuh cocok kantongg anak kuliah;positif
Lihong Chen;dlu pertama kali waroeng steak jogja cbg tamansiswa waktu harga porsi haha langgan terus dsitu dlu tax nya lg jd enteng banget rsnya owner nya jg talkshow lengkap radiokatanya basic nya islami banget maksud nya dln kelola karyawanibadahnya kryawanbersedekah rutindsb ktnya bagi hewan potong gak trbuang enak mslny tulang kaldu saus steakdsb;positif
Gabriella Zukhrufia;steak favorit masa harga naik affordable saus keju enak ka;positif
Dea Sinta;jaman kuliah undip tembalang weekend ws harga chicken double ribu tambah milkshake coklat ribu kenyang puas deh pas pulang bekas harga lumayan beda moga mahal dikit rasa ttp enak;positif
penelope 98;fav deket rumah outlet waroengsteak asli ribeye nya fav sayur mushroom terus minum fav vanilla milkshake spesial kmaren cb fishsteaknya uenaaak jd makan porsi sk krispi nya;positif
Gita afifah Putri;tempat favorit makan steak harga nha jangkau rasa gak kalah enak harga nya mahal pokok the bagus deh;positif
Sams J7;waroeng steak jadi langgan gua makan steak harga ajar bareng temen sd smp sma pas kuliah jakarta ketemu ws kek surga banget gimana ws teman makan steak harga murah maklum anak kost mah makan mevvah banget makan nasi telur warung tegal kadang hutang;positif
dewi ajeng;ws pilih baik kak makan steak harga murah yaa rasa kayak asa resto dikit gitu lho kak rasa uenak lahh murah riah pon;positif
Hasiah Chia;suka banget makan enak rasa;positif
saridita pangestika;favorit milkshake vanilla;positif
Sarah Syahrani;kuliner pasar tangerang mba grat situ pusar kuliner tangerang makan enak rekomen kesana pas malam;positif
FebChenz;usaha nya ustad yusuf mansyur suka si ide riveaw nya aneh sulit jangkau fresh cm jakarta seru banget moga nikah punya anak tetap riveaw makan lucu bawa bay;positif
juragan bongkot;jogja bangeett kuncen nyobain makan steak ws pertama indonesia turut rasa enaak ws mana sepupu jogja banget ws pulang jakarta rasa khas bangeettt;positif
humaira Zahra;suka ws obonk enak;positif
Nandaaa Kyut;surabaya saosnya gak pisah terus steak spesial waroengnya gak jadi satu ayam beefnya goreng pisah gak udang cuman rasa emang the bagus sih worth it banget harga bilang murah jadi langsung beli donggg;positif
Rubbi Apriani Pertiwi;mantaaaaap;positif
Amel Amelia;dl kenal makan mahasiswa murmer mutu hrg naik tipe steak crispy tepung dl wajar sih murah sayur butir doang nikmat kayak dl kentang kasi biji serpih jogja sih jakarta parah cinta steak and shake sejati jd kecewa mohon maaf;negatif
Saman 1521;suka gue raa chaa baru hari makan enak suki pakai kuah tomyum terus daging bbqnya cocol sauce kacang garlic sambal suki soy sauce campur mantap binggoooo;positif
Maulina Insani;raa cha mahal ah mending shabu hachi;negatif
0BAH Growtopia;if wanna eat some overprice suki mohon come here shabuhachi is more worth it than this hanamasa has the bagus deal for meat eater;positif
Joeniifa Sarah;waktu makan raa cha puri pas bayar si kasir salah nyebut total harga bilang total rb hahh kaget masa makan dua ambil menu suki rb terus tanya tuh mas rb eh liat tuh layar kasir eh maaf rb duh balikin lg tuh bakso kl emang total rb mending batal makan;negatif
Tiara Shaskia;raa cha bal enk syangnya tmptnya kcil jd hrus antri banget;netral
LINGGA;kuah tomyam nya omaygoott endeesss saos sma garlic nya bakar ken masukin beef nunggu gaji wkwkkw;positif
Mia Yuhaeni;suki enak murah minggu makan racha ngomong ngomong bandung cobain seafood bang bopak antre gilaaa bumbu bopak wort it;positif
Alifa Fyan;harga nya bikin jerit;negatif
Jihan Firyal;raa cha my favorite;positif
Govina Diandra Kusumah;mantap kak gbu;positif
efitriana wulandari;sukakkkk;positif
lisa nanda agustina;favorit banget bawang putih mantap seger baso seafood nya mantap kuah tomyamnya beuhhh endol speasial panas trusss jd ng raa cha nih malem;positif
Fikri Rinaldi;ngiler tahu kak;positif
Annisa Afsheen;tempat fav raa chaa;positif
Yuuna Sakurazuka;enak makan;positif
anastasya elsye;ngiler sour sally;positif
Miss Wiid;makan wkwk enak banget sih emang walopun senang minum oke;positif
Dona franciska;sih rasa ig kk porsi daging barusan makan porsi daging;netral
olyvia angela;favorit banget habis gaji makan yaa maklum hari duit habis mulu wkw;positif
Seijiwan Art;rasa sih juara gak kalah harga lumayan uras makan mana balik;positif
Arfiando Raffa;racha recomended hrg dg rasa pas;positif
Eli Purwasih;raa cha emang enak kuah kaldu nya;positif
Ekasha Putra;raachaa saucenya emang terbaek sih sauce;positif
kuen kuen;tempar makan favorite sumpah daging kuah enak bngt;positif
Ayu M;beef moza ny jd favorit hehe;positif
Sherley Firda;banget makan sana cukup worth it suka banget bumbu raa cha kayak bumbu kacang bumbu grill nya;positif
Ajeng Dyah;raacha kuah saucenya sih topppp;positif
Otto Krisdayanti;lbih enak klo saos bawang putih dimasukin kuah suki klo menurtku suka suki raa cha bumbu enak krna strong pilih saos biar asem;positif
Niken Octaviani;suki mah juaraaaaa aduuuh goda iman deeeeh;positif
Annyzaa Aulya;kuah tomyamnya campur saus suki terus daging direndem saos suki saos bawang putih endolitaaa restaurant favoriteeee;positif
Windy Agustin;suka baso keju nya ambil makan raacha tuh solusi banget makan empat keluarga makan gak rb;positif
Abee Lyrics;murah kak mendingn hanamasa lsung puas;negatif
Eka Dwipa;suki favorite;positif
Mawar Dania;kuah enak campur saus sukinyaa cobain dehh serius jgn lupa pakai saus bawang putih minta cabai iris;positif
Alfthtiti Tii;salah satu cinta raa cha bikin ngiler huhu;positif
Trachita Christiareni;entaaaaaaaaaaaap enyaak;positif
Feni Inayah;saosnya raa cha terbaeq kuah tom yamnya enak banget;positif
syifalophoda 2105;raacha suka akuu suki grill the bagus;positif
Shinta Aina;klo ku daging campur bumbu bwang putih rebus enak banget jdi gurih;positif
FRdepe;enak;positif
Ilmi Nafiyhati;jatohnya mahal mending shabu hachi all eat dua harga;negatif
Tazakka Adli;kayak mahal mahal banget kak harga daging;netral
Lia Arsa;restoran favorit ulang ulang kali balik jarang banget ulang tempat makan kuah kaldu ayam enak banget;positif
Dias Januar N;mahaaaal sihh disemarang mahal;negatif
Kvnzxx;mantap;positif
farhansyarifh;enak yura;positif
Ana Maulidah;aaa pulang suka bakar;positif
Ncust Bapuk;jadi mahal;negatif
Mawar Imut;raa caa mahal banget rasa habis rb dua;negatif
Denis Chrisdianti;siang br makan raa cha suki bbq mahal makan hr habis rb gitu mbak lg training salah kasih kuah minta kuah kaldu kasih tom yam;negatif
Ipilroj Ipil;klo rha cha gue suka saus nya;negatif
nur aisyah;enak daging;positif
meila putri;enak banget loh raacha;positif
kurenai gumi;mah suki sana kayak kurang worth it harga standar banget mah begituu;negatif
Ungu Terong;kurang enak gue;negatif
Sri Ekawati;rasaanyaa enak daging;positif
ikka ayyu;makan kurang enak gitu mahal mending tambah harga dikit hanamasa nampol;negatif
Seta Arum Murti;sadap;positif
Heri Sonata;tempat makan suka;positif
Ferdian Krisna;turut raacha enk bgtcoba deh masak daging pakai garlickecap asin sedikitsauce suki cabai enk banget;positif
Reginaaa 12;cmn anggap makan raa cha mahal;negatif
mr ikoways;ra chaa super mahal gaes ambil iritttp pas bayar atas ribu mahal knp tagih;negatif
Aghnia Nurshuma Annafs Muthma;emng murah beli murah mahal cuman paket doang;positif
riessyha Qu;racha murah rb kenyang jadi mahal jadi gak masuk kategori bbq murah harga segitu baik makan ayce kayak;negatif
hasanah akhmad;yummyyy;positif
Shinta Reza Ade;enak kak;positif
hermin susilowati;emang sih raacha emang mahal diitung satu pajak gue saos suki enak suki grill gue coba kuah spicynya enak kuah tomyum enak layan lumayan;netral
Talisa Natania;mahal kya nya kya hanamsa;negatif
Zahwa Azzahra Channel;recomended banget banget ajak orang tua makan all eat konsep shabu gtu jadi sayang banget orang tua makan racha spertiny cocok ngajak ortu makan ala shabu gni makan wajar bayar sesuai makan terimakasih ken grat;positif
indri apriani putri;racha mahal;negatif
Me Me;ngiler cuyy;positif
Arya _;ngiler;positif
DEWI VIRA;ngiler;positif
Chikmah Ima;sour sally black sakura oke batt;positif
Rin Rin Rusianti;gue si mahal makan sana utama bakso ikan satu mahal banget waktu makan ra cha besok lsg makan kintan karna alu bikin sesak harga racha pembalasannnya kintan jauh banget rasa enak kintan;negatif
Vedina Nh;turut murah mending all eat mahal bebas pilih harga segitu gitu terus suka keluar raa cha rambut bau asep kurang alat hisap asap;netral
Zulfa Aulia Putri;ngilerrr;positif
khoritun Nisa;raa cha bawa gatel pilih menu asa resto all eat berfikir harga makan enak sih kuah tomyamnya emg laper mending all eat onokabehanamasa gitu hilang ken raa cha rekomen sih;positif
Nabila Surnadeli;lezatos;positif
Alifah Ayu;waktu gua nyoba racha orang doang habis rb masuk mahal sih because daging dikit suki jg dikit gak tau langsung kenyang beda makan hanamasa tastenya enak racha sih;negatif
Lihong Chen;kurang suka raacha tricky enak ngesuki all eat jadi enak tambah sayur or fishcakenya pribadi suka bayar jatuh murah ketimbang raacha satu main ambil pas diitung biji habis lol;negatif
galeri yuyu 31;suka rac ha;positif
reva;makan raa chaa bikin ken balik lg ngajak jg ayo;netral
Agatha Pristiara;ayam goreng thailandnya sih rekomen raacha tempat nongkrong kengrat kayak tempat nongkrong gue empo ta cp puri anak jakbar kwkwkwwk;positif
vi vi;turut tutup kualitas rasa kurang jaga harga jg mahal ukur orang mending beli abang;negatif
Bayu Arnowo;gemar bakmi rn chicken popcorn favorite coba rasa enak beda yaa berani bikin topping macem harga jg worth it karna nilai rasa nama si milik order by go food eh tutup bingung sedih salah satu bakmi favorite tutup kl liat tinjau anak kuliner kyanya kwalitas nya turun banget yaa thank both tinjau bakmi rn sukses;negatif
Cilmo;makan mienya enak isi waktu ayam jamur dikiiiit banget kaget hitung pakai jari potong ayam jamur jadi ky makan mie doang harga lumayan mahal;netral
lusy Anna;nyoba rasa nya kurang enak harga lmyn mahal mending beli abang langgan rebu pakai baso enak;negatif
Virgina Linda;nyobain maaf rasa gurih banget sedap micin sasa gitu;negatif
Alsela Puti Maaruf;klau kta enak mending mie indomi;negatif
Aliyyah Putri Amin;makan rasa nya enak sorry;negatif
Ajra Jersey;harga porsi gak sesuai ayam dikit mending bakmi bangka dahh;negatif
Salsabila Rezkiani;enak tutup;negatif
salwa saniyah;kurang enak bakmi nyaorang penasaran beli punya raffi nagita doangmanggo boomsnya gak laku;negatif
syadza hasna azzahra;rasa lumayan porsi hrga trrlalu mahal cukup coba sklai;netral
Badiatul Ma'rifah;sumpah apa enak bgtzzz mie gue cinta mie my god bakmi rn mie buruk enk mie abang dkt rumah gue tinggal jln kaki kel bensin parkir cm ribu pakai bakso pangsit rasa gurih nikmat gmn gitu loh loveee miiieee;negatif
Zahra Hikmah;cobain oritp bb ajaa turut sih;netral
Desi Natalia;ayam dh basi woi gua seasons city jarang banget beli ati kit perut;negatif
Qorina Ilmaniar Dewantisari Sari;coba kokyknya pakai minyak wijen dehterasa banget jd nya lebay aroma nya;negatif
Maesinta febi;makan bakmie rn rasa kurang enak hambar ayam dikit banget bilang kualitasy kurang;negatif
sekar wangi;belikecewa nya dikit banget mie topping nya;negatif
wulan dani;gatau sihh gua raffi nagita ngejual barang beda asix harga kualitas;negatif
Yeni Widianingsih;makan lumayan enak sihhh;netral
Reni Nur Aini;mang bakmie nya gigi enk dah nyoba;negatif
Via Aurellia;banget bakmie nya mas enak indomie goreng dah;negatif
Sabina Darsono;dlu ngerasaiin karawang rasa ajaa;netral
Tia Dwi Larasati;harga seh mahal gue;negatif
alfin asga;jadi inget pertama bakmi rn medan temen penasaran nyoba bener rasa zonk makan bakmi temen bilang cukup makan bakmi parah gak enak;negatif
adisty nurwildani;kurang enak nyoba gak beli lg;negatif
Efendi Suroso Suroso;sayang bnyak tutup rasa enak pulang suka bakmi rn ayam lada hitam;positif
Lintang lee;gak enak rasa menang nama perna makan enak bakmi pinggir jalan;negatif
Rohani Rohani;pertama kali gua cobain enaaak banget eh tau tau tutup;positif
Novia Rahma S;enak ko aslikangen bakmi rn bip;positif
Najma Njm;nyobain rasa asiin doang;negatif
Amillia Faridhaniati;nyobain enak banget;positif
listiyani rizki;bakmi dlu lumayan bakmi ayam pop corn sma sambel matahnya emng kurang worth it harga dlu kuah tawar dlu kuah asin;negatif
Yehezkiel gaming;varian nagita enak banget harga lumayan oke waktu kuliah gue beli;positif
Luluk Mukarromah;asin doang habis;netral
Black Tea;klo gue kyknya mahal sesuai rasa terus porsi jg dkit;negatif
GI RolinG7;awal enak loh jadi langgan menu nagihta cumi cabai ijo ayam suwir recomended bangett hufd;negatif
uti harya;enk rasa nya asin doank;negatif
Nomy Cahyani;sempet kaget jg sie tiba pd tutup lumayan enak siee cuman kuah lbh enak pakai baso;positif
jasmine little78;bilang enak kagaaa bilang gak enak kagaa hahahahahahah kocaak aahh;netral
Siti Asfaro;awal enak suka hehe;positif
Lucia Lorinanto;ku enak soal tutup kayak faktor saing;positif
Mega lestary;gak enak mending bli pingir jalan;negatif
Kiki Kikii;ah gak enak mahal jga;negatif
Evi Lim;cobain sekali rasa enak;positif
Irwansyah putra;harga mahal rasa kagak enak gulung tikar alhmdlh yaaaa gulung tikar alias bangkrut;negatif
Re Welz;mesen jaman awal buka mienya benyek kenyel terus rasa asin doang gurih mahal enak mie gerobak;negatif
M Surya Gymnastyar;emang bener enak;negatif
meisya ridha zahirah;gak laku;negatif
family friendly;pertama makan bakmi rn mall artha gading rasa kurang enak kaya makan indomie istimewa;negatif
Juniarti Juniarti;nyoba cirebon bb kaya kurang serius gitu serba nanggung rasa nya tempat layan nya rasa bb jadi ribu asa mahal;netral
Vania Tabina;betul enak;negatif
Diva Nazira Aulia;makan rn ngaco banget saos nya habis haru klo management bagus lh habis saos mienya banget jg rasa jd hambar cukup sx;negatif
CHOi GAMING;awal buka gua cobain mahal bener rasa bb mending beli mie ayam abang langgan;negatif
CHOi GAMING;makan baso rn rasa kalh baso abang dorong;netral
Andrea Farras Chelyna;enak porsi dikit;negatif
Nur Marsherly;banget gofood bakmi rn emang enak makan rasa jd gak enak dideket rumah tutup sayang banget sih rasa lumayan loh masuk raffi ahmad;negatif
Selviana Pramuditha;kualitas manajemen kurang segi rasa tekstur mienya jg bumbu mie ayam nya jauh kata muas rivew makan jujur banget kata anak kuliner sukses terus anak kuliner vlognya krng enak buruk rasa hrs benah lg;negatif
Egis Samsul Maarif;dlu detos mall depok tutupaku emang bom beli dlu liat menu nya harga mahal sihh jadi males beli ajamenurut mah enak mie ayam abangabang;negatif
Pulung Haryanti;gue walopun ngefans mba nagita aku sih mie rn kesini kurang rasa isi harga isi kayak waktu awal jatuh loh bala raffiah gue beli bakmi rn tau;negatif
Intan Nurlita;gue pikir sih tutup karna konsumen males beli karna pertama porsi dikit rasa gak rasa bikin orang coba jadi porsi rasa jd orang berfikir mending gue beli mamang goba porsi rasa enak harga murah riah jujur gue beli pas liat porsi waw dikit kali hap dah habis rasa enak mamang jual goba jadi porsi rasa sesuai harga harga segitu rasa bikin tagih;negatif
Adinda Keenan;beli carefour cilandak asin doang;negatif
Dessywulann_ofc;favorit ikura cawan mushi uni gun;positif
Oktavia Prihastuti;nasabah prioritas citibank dpt kupon pas ulang tahun hari special kupon nya makan sushi tei jumlah harga rb jd pilih set makan mantapsss;positif
Muhammad Fauzan Hidayat;sorry but for me sushi tei is not worth it especially for the harga kak ken grat jarang makan sushi or gmn idk beneran yah harga porsi sushi isi ikan tobiko nya gak seger its not terrible harga nya gak worth it rasa jauh beda sushi aeon shigeru;negatif
OFYYANI VLOG'S;favoriteeeeee;positif
å»ç½å¨;bang ken kemarin makan shushi tei enak buaanggggeet suka telor ikan amis;netral
JUNI Muryati;favorite banget menu;positif
puji rahayu Susanti;rekomendasi;positif
Kiki Rizki;genki sushi enak indonesia turut enak genki sushi lat alat canggih sehat pokok wenak suah tei enak turut enak genki sushi;positif
Dedy Sugianto;tempat sushi terfavorite emang sushi tei;positif
Rika Sya;sushi shinaro kak tempat recommend banget kak;positif
Asdariah Chairani;salmon belly sushi nya enak banget sumpah;positif
Ratna Lestari;mantap kak makananya;positif
Almyra aisha;gua kesana gua kira sushi tuh nasi bakal hangat maklum baru pertama pas gua cobain dingin shasiminya enak;positif
dhanty putri;wahh banget sushi tei;positif
Yuni Minata;iya sih emang sushi tei enak;positif
Maya Oktavia Saputri;favorite;positif
Fuji Kitchen;ka cobain dragon roll sushi tei deh unagi nya enakk abur salmon belly carpacio;positif
Sastra Shihab;request sushi knight sushi online enak banget rasa murah;positif
Dewiâs Pantry;crispy abur salmon be my favourite in sushi tei;positif
neng channel;tinjau sushi groove grand indonesia lt ken rekomendasi banget sushi tei;positif
EVOTAMA Id;klo sushi tei menu favoriteq nigiri sushi tamago inari stamina roll tamago maki;positif
kernway;sushi favorite suami;positif
Goes Coeg;makan favorite;positif
yuliana putri;enak banget sih kak bener gabisa nelen makan sushi;positif
Andela Pancarani;gue demen baby octopus kasihan ngomong ngomong anak octopus yak telur;positif
may hany;suka banget takochuka idakounagisama salmonnyaaaa;positif
Adek wahyu Ilahi;genki sushi enak;positif
Devitri gembull;sup salmon belly emang enak bgttt;positif
AFD Oke;tempat favorit suami inih jd suka sushi;positif
Hasna Yulia;sushi tei makan minum nya gratis ocha refill dingin hangat;positif
Cicka Abna Firdaussy;makan susih taka bang enak nya luar binasa letak nya pik;positif
syarafina syakira;wasabinya banyak;negatif
Fenti R Ningtyas;sushi tei enak liat dapurx blakang tempat cuci piring nyucix bersih kotor banget nyucix terus lap pakai lap kotor krja;negatif
davin christ;kesini pesan salmon abur dragon roll enaaak soal enak prefer sushi hiro pleaseeee tinjau sushi go ken grat;positif
Aura Alviani Zahra;murah sup sup miso mangkok super mini isi butir tahu ukur dadu helai wakame kl kurs rb;positif
Anisa Alfarizqi;cobain sushi masa jamin sushi enak jkt;positif
Rifin Widya;mantappppp;positif
Ratri wn;fav banget sushi tei;positif
Lavida Maharani;aaaa suka banget makan sushi tei sen crispy cheese roll kan mentai mayo roll salmon mentai plate terus tempura nama tanuki suka pesan spicy mayo hohohoho doooh jd sushi malem nih hahahaha;positif
july aryani;enak emang sushi tei;positif
Nadya Septaria;uhhhh ngiler;positif
Bertie Chan;sushi kiosk puri indah mall koh cobain deh enak murah riah;positif
Maria jessica;salmon belly soupnya fav gue jugakk;positif
Nira yuniar;haduuuuh ocha panas sushi tei endul banget;positif
Cahya amanda;enek;negatif
Zebod Zee;suhsi enak bangetaq pernh merasain nyammng enak ikan salmon dngn ikan tuna gitumeliur sklisiiippp;positif
è½è½;sushi tei enak coba;positif
selma mutiara;kak makan shusi pesan salmon crispy albury enak banget pesan piring salmon spicy head babe the bagus cobain kak;positif
Ivan Pratama;wasabi nya minta sachet fresh enak;positif
frd lov;ichiban sushi fix murah enak;positif
Wahyudwi Waluyo;sushi tei mng fav beeuttttttt suka;positif
Wy Budi;tempat fav sushi banget harga jangkau enak;positif
Sugianto Sugianto;ken and grat pernha cbain fried salmon skinnya sushi tei next cb yah ituh favorit banget enak;positif
mike andene;emg enak;positif
Karmila Middleton;favorit abur salmon roll;positif
Angga Trilaksono;wasabi cuman dikit gitu ummm;negatif
Rifki K;fav sushi love lovee;positif
Kirana Syaulia26;kak kerja sushitei kira kk nyobaik salmon crispy abur nyata nyobain sushi enak;positif
Ivan;keren;positif
annisa ptrls;sushi tei terdabestttt my favorite;positif
Naufal Rasydan;salmon abur favorite loh pas nonton video kakak jadi makan;positif
jodoh kai exo;sushi tei min habis sih soal kalapp gitu pajak mahal banget worth it sihhh enakk soal;positif
Sifah Siti;mantap kak ken and grat;positif
Nisa 86;wahh mahal kali yakalau kenyang kek nya bawak jt parah mending nasi padag;negatif
Rika Hudaya;enak kantong;negatif
Profesor Dunia;sisaaan goreng tempura nama tanuki ka hhe suka minta mayonase jd klo pakeib baked salmon enak banget;positif
Iklilah Muzayyana;tuna salad crispy mentai kan mentai yaki rekomendasi banget klo pesan;positif
irma yunia;ice cream wafernya sushi tei enak chukka idakonya the bestttt;positif
Putri Anggi;enak sih enak sushi tei nasi beda kayak sushi hirosushi masa sashimi kalah wakame salad sushi tei dan free gari ocha;netral
Any any Any;gua ngerti makan restoran jepang;netral
syarafina syakira;emg enak sushitei;positif
Nuratiqah Mhd Noorh;favorite salmon crispy aburiiiii;positif
Nuratiqah Mhd Noorh;kalok makan cuka iddako lobak nya enak banget kalok kasih shoyu wasabi;positif
Papa Oki;hari makan sushi tei kecewe langsung komplain sushi tei gaenak enak sushi aeon mall ahhaha;negatif
Nurul Chumairoh;gue suka banget sushi;positif
Ratna W.;midori enak;positif
tata rahayu;pesan sop kepala salmon kuah pedas asam segar bikin eneg;positif
Siti Nurul Aisyah A;ngilerrr;positif
Bulan Sendu;coba ichiban sushi murah deh;positif
Pramudya Saputra;ken gue pertama kali ajar makan sushi sushi tei wkwkwkw tagih gila kena marah ibu kalap wkwkwkwkw;positif
Risbian Imanuel;yakin belly nya sushi cobain belly sushi abur belly yakisoba ika gesso karaage enak coba deh kak;positif
Naflah Aqillah putri;lumayan mahal anak kos;negatif
Bunda'y Rivaellgumezz;sushi tei jaman enak turun;negatif
Bellen Febriany;cobain ippeke komachi mall kelapa gading mkg sushi tei sih jenis fusion nya chef jepang nya dsna rasa enak harga mahal;positif
Beny Liau;wajib banget coba genki sushi sumpah enak banget;positif
izza mutia;sushi masa enak loh;positif
Rahayu Ayu;kesini favorit banget makan pipi salmon lupa nama katalog menu gak;positif
Choirunisa Dwi Astarini;ko ken ci grat cobain uma sushi deh kota wisata citra grand cibubur enak banget sushinya autentic sushi jepang banget;positif
Ana Khoyriyatunisa;umur hidup klo sus tei pesan sashimi cukaidako favorite masa;positif
Mayang Kathleen Pattiapon;favorit sushi tei mabo tofu udon nyaa;positif
gogo live hot;cobaainn sushi krendang utara tambora ko ken ci grat baru tempat mayan ramai nama sushimas kata si enakk da coba info koocii heheh;positif
Risma miemie;menu masa nama tai tai roll jorok bener dua sushi tei indodo halal kurang enak;negatif
Lidya rebecka;enak kak;positif
Andreas Wijaya;tbh sushi tei sebenernya enak menu lengkap pricenya kualitas nurun mulai servis temperatur ikan temp ikan panas opini;negatif
selvia rosalina;yaampuun gatel julit dah mb ricis jual skuisi ajadah karyawan deh baju sumpah ngasal banget gada konsep mending makan pinggir jalan deh;negatif
dinda paramita;gua cobain nih makan yah beri nilai parah banget beri nilai asal tau masakan kayak gin manusia diva ria ricis makan tuh layak nya kasih nilai sampah kuliner hiya hiya hiya baik;negatif
Ilmi Nafiyhati;kata resto cis mulai masuk selesai makan asalasalan karyawannya kaya bener bantu rumah maksud seragam ngasal kurang profesional gue expect ricis pindah rumah pakai kolam renang masa bikin seragam tampil tarik layan customer;negatif
shellina widya;bom nonton gue komen nih alam beli okcis cabang taman palem waktu beli lewat gofood pesan paket mukbang harga rb salah gofood isi nasi ayam tahu tempe jamur kerupuk struknya tulis mukbang pas buka isi nasi ayam kerupuk biji nasi ayam rb rbnya posting komen ig balesan masalah uang responsibilitynya rasa lumayan sambal pedas tapiiiiii tanggung jawab beli pertama kali akhir kali beli ayam okcis;negatif
